data;currency;usdpercent;usd;tngpercent;tng
26.02.2008;1 USD = 121.65 KZT;-0.84%;2 601 $/м2;-0.84%;316 400 ₸/м2
26.02.2008;1 USD = 121.65 KZT;-0.84%;2 601 $/м2;-0.84%;316 400 ₸/м2
11.03.2008;1 USD = 121.65 KZT;-0.55%;2 510 $/м2;-0.55%;305 300 ₸/м2
18.03.2008;1 USD = 121.65 KZT;-1.27%;2 478 $/м2;-1.27%;301 400 ₸/м2
18.03.2008;1 USD = 121.65 KZT;-1.27%;2 478 $/м2;-1.27%;301 400 ₸/м2
01.04.2008;1 USD = 121.65 KZT;-1.08%;2 387 $/м2;-1.08%;290 400 ₸/м2
08.04.2008;1 USD = 121.65 KZT;-5.19%;2 263 $/м2;-5.19%;275 300 ₸/м2
08.04.2008;1 USD = 121.65 KZT;-5.19%;2 263 $/м2;-5.19%;275 300 ₸/м2
22.04.2008;1 USD = 121.65 KZT;2.98%;2 249 $/м2;2.98%;273 600 ₸/м2
29.04.2008;1 USD = 121.65 KZT;0.22%;2 254 $/м2;0.22%;274 200 ₸/м2
06.05.2008;1 USD = 121.65 KZT;-1.77%;2 214 $/м2;-1.77%;269 300 ₸/м2
06.05.2008;1 USD = 121.65 KZT;-1.77%;2 214 $/м2;-1.77%;269 300 ₸/м2
20.05.2008;1 USD = 121.65 KZT;-0.36%;2 243 $/м2;-0.36%;272 900 ₸/м2
27.05.2008;1 USD = 121.65 KZT;-1.38%;2 212 $/м2;-1.38%;269 100 ₸/м2
27.05.2008;1 USD = 121.65 KZT;-1.38%;2 212 $/м2;-1.38%;269 100 ₸/м2
10.06.2008;1 USD = 121.65 KZT;1.52%;2 206 $/м2;1.52%;268 400 ₸/м2
17.06.2008;1 USD = 121.65 KZT;3.17%;2 276 $/м2;3.17%;276 900 ₸/м2
24.06.2008;1 USD = 121.65 KZT;-1.19%;2 249 $/м2;-1.19%;273 600 ₸/м2
24.06.2008;1 USD = 121.65 KZT;-1.19%;2 249 $/м2;-1.19%;273 600 ₸/м2
08.07.2008;1 USD = 121.65 KZT;5.09%;2 231 $/м2;5.09%;271 400 ₸/м2
15.07.2008;1 USD = 121.65 KZT;0%;2 231 $/м2;0%;271 400 ₸/м2
15.07.2008;1 USD = 121.65 KZT;0%;2 231 $/м2;0%;271 400 ₸/м2
29.07.2008;1 USD = 121.65 KZT;0.27%;1 885 $/м2;0.27%;229 300 ₸/м2
05.08.2008;1 USD = 121.65 KZT;0.95%;1 903 $/м2;0.96%;231 500 ₸/м2
05.08.2008;1 USD = 121.65 KZT;0.95%;1 903 $/м2;0.96%;231 500 ₸/м2
19.08.2008;1 USD = 121.65 KZT;-0.52%;1 914 $/м2;-0.52%;232 800 ₸/м2
26.08.2008;1 USD = 121.65 KZT;1.88%;1 950 $/м2;1.88%;237 200 ₸/м2
02.09.2008;1 USD = 121.65 KZT;1.59%;1 981 $/м2;1.59%;241 000 ₸/м2
02.09.2008;1 USD = 121.65 KZT;1.59%;1 981 $/м2;1.59%;241 000 ₸/м2
16.09.2008;1 USD = 121.65 KZT;1.55%;2 037 $/м2;1.55%;247 800 ₸/м2
23.09.2008;1 USD = 121.65 KZT;1.23%;2 062 $/м2;1.23%;250 800 ₸/м2
23.09.2008;1 USD = 121.65 KZT;1.23%;2 062 $/м2;1.23%;250 800 ₸/м2
07.10.2008;1 USD = 121.65 KZT;-0.38%;2 092 $/м2;-0.38%;254 500 ₸/м2
14.10.2008;1 USD = 121.65 KZT;0.57%;2 104 $/м2;0.57%;256 000 ₸/м2
14.10.2008;1 USD = 121.65 KZT;0.57%;2 104 $/м2;0.57%;256 000 ₸/м2
28.10.2008;1 USD = 121.65 KZT;-1.72%;2 054 $/м2;-1.72%;249 900 ₸/м2
04.11.2008;1 USD = 121.65 KZT;-0.73%;2 039 $/м2;-0.73%;248 000 ₸/м2
11.11.2008;1 USD = 121.65 KZT;-0.88%;2 021 $/м2;-0.88%;245 900 ₸/м2
11.11.2008;1 USD = 121.65 KZT;-0.88%;2 021 $/м2;-0.88%;245 900 ₸/м2
25.11.2008;1 USD = 121.65 KZT;-1.54%;1 982 $/м2;-1.54%;241 100 ₸/м2
02.12.2008;1 USD = 121.65 KZT;-1.11%;1 960 $/м2;-1.11%;238 400 ₸/м2
02.12.2008;1 USD = 121.65 KZT;-1.11%;1 960 $/м2;-1.11%;238 400 ₸/м2
16.12.2008;1 USD = 121.65 KZT;-2.18%;1 889 $/м2;-2.17%;229 800 ₸/м2
23.12.2008;1 USD = 121.65 KZT;-1.43%;1 862 $/м2;-1.43%;226 500 ₸/м2
06.01.2009;1 USD = 121.65 KZT;-1.61%;1 832 $/м2;-1.61%;222 900 ₸/м2
13.01.2009;1 USD = 121.65 KZT;-0.76%;1 818 $/м2;-0.76%;221 200 ₸/м2
20.01.2009;1 USD = 121.65 KZT;-0.06%;1 817 $/м2;-0.06%;221 000 ₸/м2
20.01.2009;1 USD = 121.65 KZT;-0.06%;1 817 $/м2;-0.06%;221 000 ₸/м2
03.02.2009;1 USD = 121.87 KZT;-1.45%;1 763 $/м2;-1.28%;214 900 ₸/м2
10.02.2009;1 USD = 148.50 KZT;-2.04%;1 727 $/м2;19.36%;256 500 ₸/м2
10.02.2009;1 USD = 148.50 KZT;-2.04%;1 727 $/м2;19.36%;256 500 ₸/м2
24.02.2009;1 USD = 150.00 KZT;-0.77%;1 677 $/м2;-0.18%;251 600 ₸/м2
03.03.2009;1 USD = 150.60 KZT;-1.97%;1 644 $/м2;-1.58%;247 600 ₸/м2
10.03.2009;1 USD = 150.49 KZT;-0.3%;1 639 $/м2;-0.38%;246 700 ₸/м2
10.03.2009;1 USD = 150.49 KZT;-0.3%;1 639 $/м2;-0.38%;246 700 ₸/м2
24.03.2009;1 USD = 151.10 KZT;0.74%;1 629 $/м2;1.31%;246 100 ₸/м2
31.03.2009;1 USD = 151.40 KZT;-0.55%;1 620 $/м2;-0.36%;245 300 ₸/м2
31.03.2009;1 USD = 151.40 KZT;-0.55%;1 620 $/м2;-0.36%;245 300 ₸/м2
14.04.2009;1 USD = 150.83 KZT;0.25%;1 617 $/м2;0.08%;243 900 ₸/м2
21.04.2009;1 USD = 150.33 KZT;-1.24%;1 597 $/м2;-1.56%;240 100 ₸/м2
21.04.2009;1 USD = 150.33 KZT;-1.24%;1 597 $/м2;-1.56%;240 100 ₸/м2
05.05.2009;1 USD = 150.68 KZT;-1.12%;1 593 $/м2;-1.1%;240 000 ₸/м2
12.05.2009;1 USD = 150.46 KZT;-0.75%;1 581 $/м2;-0.9%;237 900 ₸/м2
19.05.2009;1 USD = 150.27 KZT;-0.57%;1 572 $/м2;-0.69%;236 200 ₸/м2
19.05.2009;1 USD = 150.27 KZT;-0.57%;1 572 $/м2;-0.69%;236 200 ₸/м2
02.06.2009;1 USD = 150.22 KZT;-0.57%;1 560 $/м2;-0.47%;234 300 ₸/м2
09.06.2009;1 USD = 150.46 KZT;-1.03%;1 544 $/м2;-0.87%;232 300 ₸/м2
09.06.2009;1 USD = 150.46 KZT;-1.03%;1 544 $/м2;-0.87%;232 300 ₸/м2
23.06.2009;1 USD = 150.39 KZT;-0.32%;1 539 $/м2;-0.15%;231 500 ₸/м2
30.06.2009;1 USD = 150.41 KZT;-1.1%;1 522 $/м2;-1.09%;228 900 ₸/м2
07.07.2009;1 USD = 150.33 KZT;-1.71%;1 496 $/м2;-1.76%;224 900 ₸/м2
07.07.2009;1 USD = 150.33 KZT;-1.71%;1 496 $/м2;-1.76%;224 900 ₸/м2
21.07.2009;1 USD = 150.78 KZT;0.07%;1 522 $/м2;0.29%;229 500 ₸/м2
28.07.2009;1 USD = 150.77 KZT;0.59%;1 531 $/м2;0.58%;230 800 ₸/м2
28.07.2009;1 USD = 150.77 KZT;0.59%;1 531 $/м2;0.58%;230 800 ₸/м2
11.08.2009;1 USD = 150.75 KZT;0.52%;1 539 $/м2;0.52%;232 000 ₸/м2
18.08.2009;1 USD = 150.80 KZT;0.91%;1 553 $/м2;0.94%;234 200 ₸/м2
18.08.2009;1 USD = 150.80 KZT;0.91%;1 553 $/м2;0.94%;234 200 ₸/м2
